name	HEX	RGB	HSV	HSL	CMYK	description
黝黑	#665757	102,87,87	0,15,40	0,8,37	56,59,54,28	黝黑：（皮肤暴露在太阳光下而晒成的）青黑色
大红	#ff2121	255,33,33	0,87,100	0,100,56	0,96,92,0	大红：正红色，三原色中的红，传统的中国红，又称绛色。
精白	#ffffff	255,255,255	0,0,100	0,0,100	0,0,0,0	精白：纯白，洁白，净白，粉白。
灰色	#808080	128,128,128	0,0,50	0,0,50	52,43,43,0	灰色：黑色和白色混和成的一种颜色
黑色	#000000	0,0,0	0,0,0	0,0,0	75,68,67,90	黑色：亮度最低的非彩色的或消色差的物体的颜色；最暗的灰色；被认为特别属于那些既不能反射、又不能透过能使人感觉到的微小入射光的物体,任何亮度很低的物体颜色。
缁色	#493131	73,49,49	0,33,29	0,20,24	54,70,63,56	缁色：帛黑色
银红	#f05654	240,86,84	1,65,94	1,84,64	0,81,65,0	银红：银朱和粉红色颜料配成的颜色。多用来形容有光泽的各种红色，尤指有光泽浅红。
石榴红	#f20c00	242,12,0	3,100,95	3,100,47	0,100,100,0	石榴红：石榴花的颜色，高色度和纯度的红色。
酡红	#dc3023	220,48,35	4,84,86	4,73,50	8,95,100,1	酡红：像饮酒后脸上泛现的红色，泛指脸红
粉红	#ffb3a7	255,179,167	8,35,100	8,100,83	0,37,26,0	粉红，即浅红色。别称：妃色杨妃色湘妃色妃红色。
栗色	#60281e	96,40,30	9,69,38	9,52,25	37,82,82,52	栗色：栗壳的颜色。即紫黑色。
绯红	#c83c23	200,60,35	9,83,78	9,70,46	15,90,100,5	绯红：艳丽的深红。
彤	#f35336	243,83,54	9,78,95	9,89,58	0,83,86,0​​	彤：赤色。
檀	#b36d61	179,109,97	9,46,70	9,35,54	26,63,59,7	檀：浅红色，浅绛色。
紫檀	#4c221b	76,34,27	9,64,30	9,48,20	43,79,77,63	紫檀：檀木的颜色，也称乌檀色乌木色
玄色	#622a1d	98,42,29	11,70,38	11,54,25	37,82,84,51	玄色：赤黑色，黑中带红的颜色，又泛指黑色
妃色	#ed5736	237,87,54	11,77,93	11,84,57	1,81,87,0	妃红色：古同“绯”，粉红色。杨妃色湘妃色粉红皆同义。
丹	#ff4e20	255,78,32	12,87,100	12,100,56	0,84,94,0	丹：丹砂的鲜艳红色
炎	#ff3300	255,51,0	12,100,100	12,100,50	0,92,100,0	炎：引申为红色。
茶色	#b35c44	179,92,68	13,62,70	13,45,48	23,72,77,10	茶色：一种比栗色稍红的棕橙色至浅棕色。
酡颜	#f9906f	249,144,111	14,55,98	14,92,71	0,53,55,0	酡颜：饮酒脸红的样子。亦泛指脸红色
绾	#a98175	169,129,117	14,31,66	14,23,56	33,49,50,5	绾：绛色；浅绛色。
煤黑	#312520	49,37,32	18,35,19	18,21,16	61,67,69,70	煤黑像牙黑：都是黑，不过有冷暖之分。
朱红	#ff4c00	255,76,0	18,100,100	18,100,50	0,84,100,0	朱红：朱砂的颜色，比大红活泼，也称铅朱朱色丹色。
赭色	#955539	149,85,57	18,62,58	18,45,40	31,69,81,22	赭色：红色、赤红色。古人用以饰面。
鱼肚白	#fcefe8	252,239,232	21,8,99	21,77,95	1,6,6,0	鱼肚白：似鱼腹部的颜色，多指黎明时东方的天色颜色
棕色	#b25d25	178,93,37	24,79,70	24,66,42	23,70,100,11	棕色：棕毛的颜色,即褐色。1，在红色和黄色之间的任何一种颜色2，适中的暗淡和适度的浅黑。
琥珀	#ca6924	202,105,36	25,82,79	25,70,47	16,68,100,4
橘黄	#ff8936	255,137,54	25,79,100	25,100,61	0,57,86,0​​	橘黄：柑橘的黄色。
棕红	#9b4400	155,68,0	26,100,61	26,100,30	27,79,100,23	棕红：红褐色。
橙色	#fa8c35	250,140,​​53	26,79,98	26,95,59	0,55,88,0	橙色：界于红色和黄色之间的混合色。
杏红	#ff8c31	255,140,​​49	27,81,100	27,100,60	0,55,89,0	杏红：成熟杏子偏红色的一种颜色。
橘红	#ff7500	255,117,0	28,100,100	28,100,50	0,67,100,0	橘红：柑橘皮所呈现的红色
驼色	#a88462	168,132,98	29,42,66	29,29,52	32,46,65,7	驼色：一种比哢叽色稍红而微淡、比肉桂色黄而稍淡和比核桃棕色黄而暗的浅黄棕色。
黄栌	#e29c45	226,156,69	33,69,89	33,73,58	10,42,84,0	黄栌：一种落叶灌木，花黄绿色,叶子秋天变成红色。木材黄色可做染料。
杏黄	#ffa631	255,166,49	34,81,100	34,100,60	0,41,90,0	杏黄：成熟杏子的黄色。
棕黑	#7c4b00	124,75,0	36,100,49	36,100,24	37,66,100,34	棕黑：深​​棕色。
姜黄	#ffc773	255,199,115	36,55,100	36,100,73	0,24,63,0	姜黄：中药名。别名黄姜。为姜科植物姜黄的根茎。又指人脸色不正,呈黄白色。
枯黄	#d3b17d	211,177,125	36,41,83	36,49,66	18,29,57,0	枯黄：干枯焦黄。
黧	#5d513c	93,81,60	38,35,36	38,22,30	54,55,73,38	黧：黑中带黄的颜色
秋色	#896c39	137,108,57	38,58,54	38,41,38	40,50,87,21	秋色：1，中常橄榄棕色,它比一般橄榄棕色稍暗,且稍稍绿些。2，古以秋为金,其色白,故代指白色。
褐色	#6e511e	110,81,30	38,73,43	38,57,27	44,58,100,36	褐色：黄黑色
黎	#75664d	117,102,77	38,34,46	38,21,38	49,50,70,24	黎：黑中带黄似黎草色
棕黄	#ae7000	174,112,0	39,100,68	39,100,34	27,57,100,11	棕黄：浅褐色。
橙黄	#ffa400	255,164,0	39,100,100	39,100,50	0,41,100,0	橙黄：橙的黄色。（现代感比较强。广告上用得较多）
昏黄	#c89b40	200,155,64	40,68,78	40,55,52	22,38,90,2	昏黄：形容天色、灯光等呈幽暗的黄色。
赤金	#F2BE45	242,190,69	42,71,95	42,87,61	5,26,85,0	赤金：足金的颜色
缟	#f2ecde	242,236,222	42,8,95	42,43,91	4,5,12,0	缟：白色
像牙白	#fffbf0	255,251,240	44,6,100	44,100,97	0,1,5,0	像牙白：乳白色
金色	#eacd76	234,205,118	45,50,92	45,73,69	9,16,64,0	金色：平均为深黄色带光泽的颜色
乌金	#a78e44	167,142,68	45,59,65	45,42,46	34,38,87,7
牙色	#eedeb0	238,222,176	45,26,93	45,65,81	7,10,35,0	牙色：与像牙相似的淡黄色（注：暖白）
缃色	#f0c239	240,194,57	45,76,94	45,86,58	6,23,90,0	缃色：浅黄色。
苍青	#a29b7c	162,155,124	49,23,64	49,17,56	38,33,55,3
秋香色	#d9b611	217,182,17	50,92,85	50,85,46	17,25,100,0	秋香色：浅橄榄色浅黄绿色。（注：直接在Y中掺入k10~30可得到不同浓淡的该类色彩）
棕绿	#827100	130,113,0	52,100,51	52,100,25	46,44,100,19	棕绿：绿中泛棕色的一种颜色。
鹅黄	#fff143	255,241,67	56,74,100	56,100,63	3,0,83,0	鹅黄：淡黄色。
鸭黄	#faff72	250,255,114	62,55,100	62,100,72	6,0,67,0	鸭黄：小鸭毛的黄色。
柳黄	#c9dd22	201,221,34	66,85,87	66,73,50	26,0,100,0	柳黄：像柳树芽那样的浅黄色
樱草色	#eaff56	234,255,86	67,66,100	67,100,67	13,0,80,0	樱草色：淡黄色。
嫩绿	#bddd22	189,221,34	70,85,87	70,73,50	31,0,100,0	嫩绿：像刚长出的嫩叶的浅绿色
葱黄	#a3d900	163,217,0	75,100,85	75,100,43	41,0,100,0	葱黄：黄绿色，嫩黄色
柳绿	#afdd22	175,221,34	75,85,87	75,73,50	36,0,100,0	柳绿：柳叶的青绿色
葱绿	#9ed900	158,217,0	76,100,85	76,100,43	43,0,100,0	葱绿：1，浅绿又略显微黄的颜色2，草木青翠的样子
松花色	#bce672	5,119,72	82,50,90	82,70,67	89,29,88,17	松花色：浅黄绿色。（松树花粉的颜色）《红楼梦》中提及松花配桃红为娇艳
豆绿	#9ed048	158,208,72	82,65,82	82,59,55	43,0,92,0	豆绿：浅黄绿色
豆青	#96ce54	150,206,84	88,59,81	88,55,57	45,0,87,0	豆青：浅青绿色
竹青	#789262	120,146,98	93,33,57	93,20,48	56,28,73,7	竹青：竹子的绿色
荼白	#f3f9f1	243,249,241	105,3,98	105,40,96	3,0,5,0	荼白：如荼之白色
绿色	#00e500	0,229,0	120,100,90	120,100,45	68,0,100,0	绿色：1，在光谱中介于蓝与黄之间的那种颜色。2，本义：青中带黄的颜色。3，引申为黑色，如绿鬓：乌黑而光亮的鬓发。代指为青春年少的容颜。
油绿	#00bc12	0,188,18	126,100,74	126,100,37	78,0,100,0	油绿：光润而浓绿的颜色。以上几种绿色都是明亮可爱的色彩。
绿沉	#0c8918	12,137,24	126,91,54	126,84,29	86,21,100,9	绿沉：深绿
草绿	#40de5a	64,222,90	130,71,87	130,71,56	63,0,90,0	草绿：绿而略黄的颜色。
葱青	#0eb83a	14,184,58	136,92,72	136,86,39	78,0,100,0	葱青：淡淡的青绿色
青葱	#0aa344	10,163,68	143,94,64	143,88,34	83,1,100,1	青葱：翠绿色,形容植物浓绿
缥	#7fecad	127,236,173	145,46,93	145,74,71	44,0,46,0	缥：绿色而微白
苍黄	#519a73	81,154,115	148,47,60	148,31,46	71,20,67,3
石青	#7bcfa6	123,207,166	151,41,81	151,47,65	51,0,45,0	石青：淡灰绿色
玉色	#7bcfa6	46,223,163	151,41,81	151,47,65	62,0,53,0	玉色：玉的颜色，高雅的淡绿、淡青色
青翠	#00e079	0,224,121	152,100,88	152,100,44	66,0,76,0	青翠：鲜绿
青白	#c0ebd7	192,235,215	152,18,92	152,52,84	24,0,20,0	青白：白而发青,尤指脸没有血色
艾绿	#a4e2c6	164,226,198	153,27,89	153,52,76	34,0,29,0	艾绿：艾草的颜色。偏苍白的绿色。
蟹壳青	#bbcdc5	187,205,197	153,9,80	153,15,77	27,11,22,0	蟹壳青：深灰绿色
鸭卵青	#e0eee8	224,238,232	154,6,93	154,29,91	11,1,9,0	鸭卵青：淡青灰色，极淡的青绿色
素	#e0f0e9	224,240,233	154,7,94	154,35,91	11,1,9,0	素：白色，无色
松花绿	#057748	5,119,72	155,96,47	155,92,24	89,29,88,17	松花绿：亦作“松花”、“松绿”。偏黑的深绿色,墨绿。
碧绿	#2add9c	42,221,156	158,81,87	158,72,52	63,0,56,0	碧绿：鲜艳的青绿色
松柏绿	#21a675	33,166,117	158,80,65	158,67,39	79,9,71,1	松柏绿：经冬松柏叶的深绿
水绿	#d4f2e7	212,242,231	158,12,95	158,54,89	16,0,11,0
翡翠色	#3de1ad	61,225,173	161,73,88	161,73,56	59,0,47,0	翡翠色：1，翡翠鸟羽毛的青绿色。2，翡翠宝石的颜色。(注：C-Y≧30的系列色彩，多与白色配合以体现清新明丽感觉，与黑色配合效果不好：该色个性柔弱，会被黑色牵制)
青色	#00e09e	0,224,158	162,100,88	162,100,44	64,0,56,0	青色：1，一类带绿的蓝色,中等深浅,高度饱和。3，本义是蓝色。4，一般指深绿色。5，也指黑色。6，四色印刷中的一色。2，特指三补色中的一色。
碧色	#1bd1a5	27,209,165	165,87,82	165,77,46	67,0,50,0	碧色：1，青绿色。2，青白色,浅蓝色。
老银	#bacac6	186,202,198	165,8,79	165,13,76	27,12,20,0	老银：金属氧化后的色彩
青碧	#48c0a3	72,192,163	166,63,75	166,49,52	66,0,46,0	青碧：鲜艳的青蓝色
湖绿	#25f8cb	37,248,203	167,85,97	167,94,56	55,0,36,0
铜绿	#549688	84,150,136	167,44,59	167,28,46	69,24,51,3
水色	#88ada6	136,173,166	169,21,68	169,18,61	49,20,35,0
碧蓝	#3eede7	62,237,231	178,74,93	178,83,59	53,0,19,0	碧蓝：青蓝色
黛绿	#426666	66,102,102	180,35,40	180,21,33	76,46,53,22	黛绿：墨绿。
蔚蓝	#70f3ff	112,243,255	185,56,100	185,100,72	42,0,7,0	蔚蓝：类似晴朗天空的颜色的一种蓝色
湖蓝	#30dff3	48,2​​23,243	186,80,95	186,89,57	57,0,10,0
水蓝	#d2f0f4	210,240,244	187,14,96	187,61,89	16,0,4,0
莹白	#e3f9fd	227,239,253	189,10,99	189,87,94	9,0,1,0	莹白：晶莹洁白
苍色	#75878a	117,135,138	189,15,54	189,8,50	58,38,40,0	苍色：即各种颜色掺入黑色后的颜色，如苍翠
月白	#d6ecf0	214,236,240	189,11,94	189,46,89	15,1,4,0​​	月白：淡蓝色
雪白	#f0fcff	240,252,255	192,6,100	192,100,97	4,0,1,0	雪白：如雪般洁白
蓝	#44CEF6	68,206,246	193,72,96	193,91,62	58,0,2,0	蓝：三原色的一种。像晴天天空的颜色（注：这里的蓝色指的不是RGB色彩中的B，而是CMY色彩中的C）
鸦青	#424c50	66,76,80	197,18,31	197,10,29	72,58,54,36	鸦青：鸦羽的颜色。即黑而带有紫绿光的颜色。
花白	#c2ccd0	194,204,208	197,7,82	197,13,79	24,13,14,0	花白：白色和黑色混杂的。斑白的夹杂有灰色的白
黯	#41555d	65,85,93	197,30,36	197,18,31	76,56,50,29	黯：深黑色、泛指黑色
靛青	#177cb0	23,124,176	200,87,69	200,77,39	85,44,12,1	靛青：也叫“蓝靛”。用蓼蓝叶泡水调和与石灰沉淀所得的蓝色染料。呈深蓝绿色（注：有些地方将蓝墨水称为“靛水”或者“兰靛水”）
群青	#4c8dae	76,141,174	200,56,68	200,39,49	72,34,20,1	群青：深蓝色
靛蓝	#065279	6,82,121	200,95,47	200,91,25	97,68,31,14	靛蓝：由植物(例如靛蓝或菘蓝属植物)得到的蓝色染料
苍黑	#7397ab	115,151,171	201,33,67	201,25,56	58,32,25,1
霜色	#e9f1f6	233,241,246	203,5,96	203,42,94	7,2,1,0	霜色：白霜的颜色
墨灰	#758a99	117,138,153	205,24,60	205,15,53	58,39,31,2	墨灰：即黑灰
墨色	#50616d	80,97,109	205,27,43	205,15,37	71,54,44,19	墨色：即黑色
苍白	#d1d9e0	209,217,224	208,7,88	208,19,85	17,9,7,0
绀青	#003371	0,51,113	213,100,44	213,100,22	100,88,28,16	绀青绀紫：纯度较低的深紫色
淡青	#d3e0f3	211,224,243	216,13,95	216,57,89	15,7,0,0
藏青	#2e4e7e	46,78,126	216,63,49	216,47,34	91,74,26,10	藏青：蓝而近黑
黛蓝	#425066	66,80,102	217,35,40	217,21,33	78,64,41,24	黛蓝：深蓝色
蓝灰色	#a1afc9	161,175,201	219,20,79	219,27,71	37,25,10,0	蓝灰色：一种近于灰略带蓝的深灰色
漆黑	#161823	22,24,35	231,37,14	231,23,11	81,74,57,73	漆黑：非常黑的
宝蓝	#4b5cc4	75,92,196	232,62,77	232,51,53	78,69,0,0	宝蓝：鲜艳明亮的蓝色（注：英文中为RoyalBlue即皇家蓝色，是皇室选用的色彩，多和小面积纯黄色（金色）配合使用。）
铅白	#f0f0f4	240,240,244	240,2,96	240,15,95	4,3,2,0	铅白：铅粉的白色。铅粉，国画颜料，日久易氧化“返铅”变黑。铅粉在古时用以搽脸的化妆品。（注：冷白）
玄青	#3d3b4f	61,59,79	246,25,31	246,14,27	76,73,46,39	玄青：深黑色
黝	#6b6882	107,104,130	247,20,51	247,11,46	63,58,33,9	黝：本义为淡黑色或微青黑色。
藏蓝	#3b2e7e	59,46,126	250,63,49	250,47,34	95,100,15,4	藏蓝：蓝里略透红色
雪青	#b0a4e3	176,164,227	251,28,89	251,53,77	30,34,0,0	雪青：浅蓝紫色
黛	#4a4266	74,66,102	253,35,40	253,21,33	77,78,35,22	黛：青黑色的颜料。古代女子用以画眉。
银白	#e9e7ef	233,231,239	255,3,94	255,20,92	7,7,2,0	银白：带银光的白色
乌色	#725e82	114,94,130	273,28,51	273,16,44	61,67,28,8	乌色：暗而呈黑的颜色
乌黑	#392f41	57,47,65	273,28,25	273,16,22	74,76,49,49	乌黑：深黑
紫色	#8d4bbb	141,75,187	275,60,73	275,45,51	56,79,0,0	紫色：蓝和红组成的颜色。古人以紫为祥瑞的颜色。代指与帝王、皇宫有关的事物。
黛紫	#574266	87,66,102	275,35,40	275,21,33	71,79,36,22	黛紫：深紫色
丁香色	#cca4e3	204,164,227	278,28,89	278,53,77	20,37,0,0	丁香色：紫丁香的颜色，浅浅的紫色，很娇柔淡雅的色彩
青莲	#801dae	128,29,174	281,83,68	281,71,40	64,92,0,0	青莲：偏蓝的紫色
紫棠	#56004f	86,0,79	305,100,34	305,100,17	66,100,33,36	紫棠：黑红色
酱紫	#815476	129,84,118	315,35,51	315,21,42	52,74,33,10	酱紫：紫中略带红的颜色
水红	#f3d3e7	243,211,231	323,13,95	323,57,89	2,19,0,0
洋红	#ff0097	255,0,151	324,100,100	324,100,50	0,0,96,0	洋红：色橘红。
品红	#f00056	240,0,86	339,100,94	339,100,47	0,100,53,0	品红：比大红浅的红色。
藕荷色	#e4c6d0	228,198,208	340,13,89	340,36,84	9,23,8,0	藕荷色：浅紫而略带红的颜色
紫酱	#815463	129,84,99	340,35,51	340,21,42	46,70,45,19	紫酱：浑浊的紫色
绛紫	#8c4356	140,67,86	344,52,55	344,35,41	37,81,50,20	绛紫：紫中略带红的颜色。
殷红	#be002f	190,0,47	345,100,75	345,100,37	17,100,86,8	殷红：发黑的红色。
藕色	#edd1d8	237,209,216	345,12,93	345,44,87	5,19,7,0	藕色：浅灰而略带红的颜色
樱桃色	#c93756	201,55,86	347,73,79	347,57,50	16,93,57,3	樱桃色：鲜红色。
茜色	#cb3a56	203,58,86	348,71,80	348,58,51	15,92,58,2	茜色：茜草染的色彩，呈深红色。
火红	#ff2d51	255,45,81	350,82,100	350,100,59	0,93,60,0	火红：火焰的红色，赤色。
海棠红	#db5a6b	219,90,107	352,59,86	352,64,61	10,79,47,0	海棠红，淡紫红色、较桃红色深一些，是非常妩媚娇艳的颜色。
赫赤	#c91f37	201,31,55	352,85,79	352,73,45	14,100,83,4	赫赤：深红，火红。泛指赤色、火红色。
枣红	#c32136	195,33,54	352,83,76	352,71,45	16,99,83,6	枣红：即深红
胭脂	#9d2933	157,41,51	355,74,62	355,59,39	26,95,80,21	胭脂：1，女子装扮时用的胭脂的颜色。2，国画暗红色颜料。
桃红	#f47983	244,121,131	355,50,96	355,85,72	0,66,34,0	桃红，桃花的颜色，比粉红略鲜润的颜色。
嫣红	#ef7a82	239,122,130	356,49,94	356,79,71	2,65,36,0	嫣红：鲜艳的红色。
赤	#c3272b	195,39,43	358,80,76	358,67,46	16,98,95,6	赤：本义火的颜色，即红色。
